"","service_date","time","route_id","route_name","trip_freq","trip_freq_adj","sub_route","trip_id","stop_id","departure_terminal","mbta_sched_departure","actual_departure","pax_on","pax_load","pax_off","mbta_sched_arrival","actual_arrival","arrival_terminal","vessel_time_slot","trip_endpoint","travel_direction","ObjectId","week"
"1","2021/01/08","05:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","18:40-F1-HNG-RWF","18:40-F1-HNG-RWF","Hingham","2021/01/08 23:40:00+00","2021-01-08 18:41:00",4,4,-4,"2021/01/09 00:15:00+00","2021-01-08 19:14:00","Rowes Wharf","Vessel C","Trip Endpoint","To Boston",91145,"Friday"
"2","2021/06/10","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","18:10-F1-HNG-RWF","18:10-F1-HNG-RWF","Hingham","2021/06/10 22:10:00+00","2021-06-10 18:10:00",4,4,-4,"2021/06/10 22:45:00+00","2021-06-10 18:41:00","Rowes Wharf","Vessel A","Trip Endpoint","To Boston",91263,"Thursday"
"3","2021/06/11","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","07:15-F1-RWF-HNG","07:15-F1-RWF-HNG","Rowes Wharf","2021/06/11 11:15:00+00","2021-06-11 07:15:00",0,0,0,"2021/06/11 11:55:00+00","2021-06-11 07:49:00","Hingham","Vessel B","Trip Endpoint","From Boston",91516,"Friday"
"4","2021/07/05","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","13:30-F1-RWF-HNG","13:30-F1-RWF-HNG","Rowes Wharf","2021/07/05 17:30:00+00","2021-07-05 13:30:00",2,2,-2,"2021/07/05 18:10:00+00","2021-07-05 14:10:00","Hingham","Vessel D","Trip Endpoint","From Boston",91855,"Monday"
"5","2021/07/08","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","08:45-F1-HNG-RWF","08:45-F1-HNG-RWF","Hingham","2021/07/08 12:45:00+00","2021-07-08 08:46:00",64,64,-64,"2021/07/08 13:20:00+00","2021-07-08 09:20:00","Rowes Wharf","Vessel C","Trip Endpoint","To Boston",92110,"Thursday"
"6","2021/08/02","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","16:10-F1-HNG-RWF","16:10-F1-HNG-RWF","Hingham","2021/08/02 20:10:00+00","2021-08-02 16:10:00",18,18,-18,"2021/08/02 20:50:00+00","2021-08-02 16:50:00","Rowes Wharf","Vessel D","Trip Endpoint","To Boston",92618,"Monday"
"7","2021/08/05","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","06:50-F1-RWF-HNG","06:50-F1-RWF-HNG","Rowes Wharf","2021/08/05 10:50:00+00","2021-08-05 06:50:00",0,0,0,"2021/08/05 11:30:00+00","2021-08-05 07:20:00","Hingham","Vessel A","Trip Endpoint","From Boston",92789,"Thursday"
"8","2021/09/09","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","17:45-F1-HNG-RWF","17:45-F1-HNG-RWF","Hingham","2021/09/09 21:45:00+00","2021-09-09 17:45:00",5,5,-5,"2021/09/09 22:25:00+00","2021-09-09 18:20:00","Rowes Wharf","Vessel D","Trip Endpoint","To Boston",92964,"Thursday"
"9","2021/09/10","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Hingham-Boston","06:00-F1-HNG-RWF","06:00-F1-HNG-RWF","Hingham","2021/09/10 10:00:00+00","2021-09-10 06:00:00",19,19,-19,"2021/09/10 10:35:00+00","2021-09-10 06:30:00","Rowes Wharf","Vessel A","Trip Endpoint","To Boston",92965,"Friday"
"10","2021/09/08","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","17:20-F1-RWF-HNG","17:20-F1-RWF-HNG","Rowes Wharf","2021/09/08 21:20:00+00","2021-09-08 17:21:00",113,113,-113,"2021/09/08 21:55:00+00","2021-09-08 17:54:00","Hingham","Vessel A","Trip Endpoint","From Boston",93131,"Wednesday"
"11","2021/10/05","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","19:00-F1-RWF-HNG","19:00-F1-RWF-HNG","Rowes Wharf","2021/10/05 23:00:00+00","2021-10-05 19:00:00",20,20,-20,"2021/10/05 23:35:00+00","2021-10-05 19:30:00","Hingham","Vessel A","Trip Endpoint","From Boston",93809,"Tuesday"
"12","2021/10/06","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","08:00-F1-RWF-HNG","08:00-F1-RWF-HNG","Rowes Wharf","2021/10/06 12:00:00+00","2021-10-06 08:00:00",2,2,-2,"2021/10/06 12:35:00+00","2021-10-06 08:33:00","Hingham","Vessel C","Trip Endpoint","From Boston",93894,"Wednesday"
"13","2021/11/05","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","19:30-F1-RWF-HNG","19:30-F1-RWF-HNG","Rowes Wharf","2021/11/05 23:30:00+00","2021-11-05 19:30:00",11,11,-11,"2021/11/06 00:05:00+00","2021-11-05 19:55:00","Hingham","Vessel C","Trip Endpoint","From Boston",94155,"Friday"
"14","2021/11/02","04:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","13:30-F1-RWF-HNG","13:30-F1-RWF-HNG","Rowes Wharf","2021/11/02 17:30:00+00","2021-11-02 13:30:00",47,47,-47,"2021/11/02 18:10:00+00","2021-11-02 14:05:00","Hingham","Vessel D","Trip Endpoint","From Boston",94236,"Tuesday"
"15","2021/12/07","05:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","13:30-F1-RWF-HNG","13:30-F1-RWF-HNG","Rowes Wharf","2021/12/07 18:30:00+00","2021-12-07 13:30:00",11,11,-11,"2021/12/07 19:10:00+00","2021-12-07 14:05:00","Hingham","Vessel D","Trip Endpoint","From Boston",94579,"Tuesday"
"16","2021/12/10","05:00:00+00","F1","F1-Hingham","M-F","Covid","F1-Boston-Hingham","13:30-F1-RWF-HNG","13:30-F1-RWF-HNG","Rowes Wharf","2021/12/10 18:30:00+00","2021-12-10 13:30:00",7,7,-7,"2021/12/10 19:10:00+00","2021-12-10 14:05:00","Hingham","Vessel D","Trip Endpoint","From Boston",94750,"Friday"
"17","2021/01/07","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hull-Boston","09:05-F2H-HUL-LWN","09:05-F2H-HUL-LWN","Hull","2021/01/07 14:05:00+00","2021-01-07 09:05:00",4,4,-4,"2021/01/07 14:28:00+00","2021-01-07 09:31:00","Long Wharf N","Vessel B","Trip Endpoint","To Boston",95260,"Thursday"
"18","2021/01/05","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Boston","18:55-F2H-HNG-LWN","18:55-F2H-HNG-LWN","Hingham","2021/01/05 23:55:00+00","2021-01-05 18:55:00",0,0,0,"2021/01/06 00:28:00+00","2021-01-05 19:32:00","Long Wharf N","Vessel B","Trip Endpoint","To Boston",95342,"Tuesday"
"19","2021/01/07","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Boston-Hull-Hingham","20:15-F2H-LWN-HNG","20:15-F2H-LWN-HUL","Long Wharf N","2021/01/08 01:15:00+00","2021-01-07 20:15:00",3,3,-1,"2021/01/08 01:40:00+00","2021-01-07 20:39:00","Hull","Vessel A","Midpoint","From Boston",95596,"Thursday"
"20","2021/02/03","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hull-Boston","08:00-F2H-HUL-LWN","08:00-F2H-HUL-LWN","Hull","2021/02/03 13:00:00+00","2021-02-03 07:55:00",17,17,-17,"2021/02/03 13:25:00+00","2021-02-03 08:27:00","Long Wharf N","Vessel A","Trip Endpoint","To Boston",96022,"Wednesday"
